实验时间,"时间		",分数,方块数量,备注,点击位置
23:22:19,138.65,415,37,effective,"[['right', [140, -20], [330, 273]], ['down', [140, -20], [399, 299]], ['right', [140, -20], [522, 362]], ['down', [140, -20], [572, 417]], ['right', [140, -20], [516, 268]], ['up', [140, -20], [450, 274]], ['left', [140, -20], [426, 192]], ['up', [140, -20], [272, 213]], ['left', [140, -20], [225, 249]], ['down', [140, -20], [352, 247]], ['right', [140, -20], [416, 158]], ['up', [140, -20], [503, 135]], ['right', [140, -20], [473, 143]], ['down', [140, -20], [439, 162]], ['left', [140, -20], [297, 265]], ['down', [140, -20], [226, 386]], ['right', [140, -20], [292, 325]], ['up', [140, -20], [238, 318]], ['left', [140, -20], [185, 327]], ['down', [140, -20], [300, 379]], ['right', [140, -20], [340, 416]], ['down', [140, -20], [411, 420]], ['right', [140, -20], [533, 340]], ['up', [140, -20], [418, 368]], ['left', [140, -20], [275, 301]], ['up', [140, -20], [335, 241]], ['right', [140, -20], [569, 135]], ['up', [140, -20], [626, 146]], ['right', [140, -20], [593, 190]], ['down', [140, -20], [519, 267]], ['left', [140, -20], [418, 336]], ['down', [140, -20], [430, 322]], ['right', [140, -20], [397, 293]], ['up', [140, -20], [354, 224]], ['left', [140, -20], [206, 260]], ['down', [140, -20], [468, 317]], ['right', [140, -20], [444, 258]], ['up', [140, -20], [286, 246]], ['left', [140, -20], [286, 246]], ['down', [140, -20], [508, 325]], ['right', [140, -20], [460, 366]], ['down', [140, -20], [422, 354]], ['left', [140, -20], [227, 326]], ['up', [140, -20], [422, 380]], ['right', [140, -20], [475, 398]], ['down', [140, -20], [472, 390]], ['right', [140, -20], [501, 323]], ['up', [140, -20], [307, 311]], ['left', [140, -20], [262, 344]], ['down', [140, -20], [582, 378]], ['right', [140, -20], [471, 240]], ['up', [140, -20], [288, 275]], ['left', [140, -20], [287, 319]], ['down', [140, -20], [253, 313]], ['right', [140, -20], [268, 381]], ['down', [140, -20], [207, 364]], ['left', [140, -20], [153, 304]], ['up', [140, -20], [170, 272]], ['right', [140, -20], [257, 283]], ['down', [140, -20], [209, 321]], ['left', [140, -20], [207, 233]], ['up', [140, -20], [378, 205]], ['right', [140, -20], [371, 291]], ['down', [140, -20], [312, 319]], ['left', [140, -20], [303, 248]], ['up', [140, -20], [328, 203]], ['right', [140, -20], [442, 300]], ['down', [140, -20], [363, 292]], ['left', [140, -20], [198, 181]], ['up', [140, -20], [290, 154]], ['right', [140, -20], [390, 256]], ['down', [140, -20], [246, 376]], ['left', [140, -20], [165, 233]], ['up', [140, -20], [248, 273]], ['right', [140, -20], [218, 199]], ['up', [140, -20], [352, 189]], ['right', [140, -20], [522, 258]], ['down', [140, -20], [369, 244]], ['left', [140, -20], [295, 254]], ['down', [140, -20], [343, 309]], ['right', [140, -20], [408, 202]], ['up', [140, -20], [358, 263]], ['left', [140, -20], [212, 289]], ['down', [140, -20], [347, 394]], ['right', [140, -20], [496, 408]], ['up', [140, -20], [390, 382]], ['left', [140, -20], [185, 254]], ['up', [140, -20], [253, 143]], ['right', [140, -20], [476, 309]], ['down', [140, -20], [238, 411]], ['left', [140, -20], [197, 242]], ['up', [140, -20], [197, 242]], ['left', [140, -20], [123, 291]], ['up', [140, -20], [319, 189]], ['right', [140, -20], [480, 329]], ['down', [140, -20], [249, 310]], ['left', [140, -20], [113, 189]], ['up', [140, -20], [264, 124]], ['right', [140, -20], [366, 75]], ['down', [140, -20], [387, 74]], ['right', [140, -20], [406, 41]], ['up', [140, -20], [515, 108]], ['right', [140, -20], [495, 121]], ['down', [140, -20], [338, 387]], ['left', [140, -20], [172, 138]], ['up', [140, -20], [442, 109]], ['right', [140, -20], [444, 144]], ['down', [140, -20], [526, 255]], ['right', [140, -20], [588, 166]], ['up', [140, -20], [521, 104]], ['left', [140, -20], [280, 159]], ['down', [140, -20], [143, 307]], ['left', [140, -20], [74, 155]], ['up', [140, -20], [186, 67]], ['right', [140, -20], [594, 209]], ['down', [140, -20], [397, 351]], ['left', [140, -20], [375, 355]], ['down', [140, -20], [193, 311]], ['left', [140, -20], [233, 197]], ['up', [140, -20], [293, 182]], ['right', [140, -20], [542, 315]], ['down', [140, -20], [360, 325]], ['left', [140, -20], [209, 164]], ['up', [140, -20], [365, 84]], ['right', [140, -20], [541, 244]], ['down', [140, -20], [578, 258]], ['left', [140, -20], [485, 308]], ['down', [140, -20], [292, 322]], ['left', [140, -20], [294, 124]], ['up', [140, -20], [553, 98]], ['right', [140, -20], [604, 187]], ['down', [140, -20], [441, 270]], ['left', [140, -20], [409, 335]], ['down', [140, -20], [383, 338]], ['left', [140, -20], [13, 224]], ['up', [140, -20], [332, 119]], ['right', [140, -20], [449, 237]], ['down', [140, -20], [258, 396]], ['left', [140, -20], [162, 183]], ['up', [140, -20], [352, 135]], ['right', [140, -20], [483, 239]], ['down', [140, -20], [318, 302]], ['left', [140, -20], [69, 169]], ['up', [140, -20], [60, 177]], ['right', [140, -20], [80, 88]]]"
23:24:05,102.12,190,20,effective,"[['right', [660, 480], [316, 279]], ['down', [660, 480], [373, 299]], ['right', [660, 480], [341, 323]], ['down', [660, 480], [277, 294]], ['left', [660, 480], [323, 255]], ['up', [660, 480], [315, 275]], ['right', [660, 480], [333, 315]], ['down', [660, 480], [286, 386]], ['left', [660, 480], [197, 383]], ['down', [660, 480], [382, 420]], ['right', [660, 480], [302, 285]], ['up', [660, 480], [328, 298]], ['right', [660, 480], [367, 328]], ['up', [660, 480], [546, 232]], ['right', [660, 480], [473, 355]], ['down', [660, 480], [376, 391]], ['left', [660, 480], [97, 423]], ['down', [660, 480], [264, 428]], ['right', [660, 480], [451, 180]], ['up', [660, 480], [422, 183]], ['left', [660, 480], [248, 181]], ['down', [660, 480], [462, 238]], ['right', [660, 480], [307, 90]], ['up', [660, 480], [436, 151]], ['right', [660, 480], [502, 231]], ['down', [660, 480], [348, 244]], ['left', [660, 480], [188, 93]], ['up', [660, 480], [342, 79]], ['right', [660, 480], [442, 209]], ['down', [660, 480], [248, 290]], ['left', [660, 480], [190, 148]], ['up', [660, 480], [252, 127]], ['right', [660, 480], [204, 214]], ['down', [660, 480], [501, 365]], ['right', [660, 480], [335, 198]], ['up', [660, 480], [162, 205]], ['left', [660, 480], [122, 229]], ['down', [660, 480], [206, 256]], ['right', [660, 480], [186, 169]], ['up', [660, 480], [325, 194]], ['right', [660, 480], [344, 256]], ['down', [660, 480], [159, 299]], ['left', [660, 480], [148, 339]], ['down', [660, 480], [279, 375]], ['right', [660, 480], [342, 283]], ['up', [660, 480], [229, 319]], ['left', [660, 480], [203, 344]], ['down', [660, 480], [287, 366]], ['right', [660, 480], [242, 263]], ['up', [660, 480], [244, 261]], ['left', [660, 480], [126, 290]], ['down', [660, 480], [265, 349]], ['right', [660, 480], [262, 273]], ['up', [660, 480], [139, 229]], ['left', [660, 480], [99, 242]], ['down', [660, 480], [277, 273]], ['right', [660, 480], [295, 226]], ['up', [660, 480], [361, 207]], ['right', [660, 480], [586, 283]], ['down', [660, 480], [286, 346]], ['left', [660, 480], [326, 236]], ['up', [660, 480], [534, 193]], ['right', [660, 480], [559, 286]], ['down', [660, 480], [455, 437]], ['left', [660, 480], [142, 191]], ['up', [660, 480], [149, 180]], ['right', [660, 480], [466, 202]], ['down', [660, 480], [400, 172]], ['right', [660, 480], [399, 159]], ['up', [660, 480], [314, 166]], ['left', [660, 480], [209, 212]], ['down', [660, 480], [333, 413]], ['right', [660, 480], [352, 285]], ['up', [660, 480], [177, 209]], ['left', [660, 480], [161, 125]], ['up', [660, 480], [553, 161]], ['right', [660, 480], [456, 282]], ['down', [660, 480], [528, 432]], ['right', [660, 480], [550, 321]], ['up', [660, 480], [453, 245]], ['left', [660, 480], [510, 277]], ['down', [660, 480], [556, 388]], ['right', [660, 480], [565, 264]], ['up', [660, 480], [454, 230]], ['left', [660, 480], [268, 235]], ['down', [660, 480], [552, 412]], ['right', [660, 480], [519, 395]], ['up', [660, 480], [519, 400]], ['right', [660, 480], [553, 383]], ['up', [660, 480], [446, 234]], ['left', [660, 480], [374, 320]], ['down', [660, 480], [542, 430]], ['right', [660, 480], [514, 280]], ['up', [660, 480], [362, 242]], ['left', [660, 480], [407, 286]], ['down', [660, 480], [559, 427]]]"
23:25:56,106.09,302,29,effective,"[['right', [480, 180], [401, 263]], ['down', [480, 180], [359, 340]], ['right', [480, 180], [453, 377]], ['down', [480, 180], [283, 356]], ['left', [480, 180], [339, 264]], ['up', [480, 180], [261, 323]], ['left', [480, 180], [169, 339]], ['down', [480, 180], [447, 370]], ['right', [480, 180], [331, 232]], ['up', [480, 180], [436, 246]], ['right', [480, 180], [508, 305]], ['down', [480, 180], [268, 312]], ['left', [480, 180], [259, 357]], ['down', [480, 180], [132, 337]], ['left', [480, 180], [142, 221]], ['up', [480, 180], [176, 227]], ['right', [480, 180], [211, 241]], ['up', [480, 180], [121, 267]], ['left', [480, 180], [99, 282]], ['down', [480, 180], [159, 285]], ['right', [480, 180], [86, 223]], ['up', [480, 180], [380, 202]], ['right', [480, 180], [374, 202]], ['down', [480, 180], [355, 203]], ['left', [480, 180], [324, 204]], ['down', [480, 180], [336, 186]], ['right', [480, 180], [333, 122]], ['up', [480, 180], [362, 132]], ['right', [480, 180], [504, 192]], ['down', [480, 180], [311, 325]], ['left', [480, 180], [374, 134]], ['up', [480, 180], [457, 158]], ['right', [480, 180], [473, 291]], ['down', [480, 180], [330, 360]], ['left', [480, 180], [327, 362]], ['down', [480, 180], [317, 311]], ['right', [480, 180], [326, 263]], ['up', [480, 180], [326, 263]], ['left', [480, 180], [87, 104]], ['up', [480, 180], [256, 161]], ['right', [480, 180], [561, 272]], ['down', [480, 180], [418, 360]], ['left', [480, 180], [340, 145]], ['up', [480, 180], [483, 142]], ['right', [480, 180], [533, 18]], ['up', [480, 180], [380, 46]], ['left', [480, 180], [385, 110]], ['down', [480, 180], [331, 289]], ['left', [480, 180], [291, 87]], ['up', [480, 180], [378, 91]], ['right', [480, 180], [386, 168]], ['down', [480, 180], [290, 228]], ['left', [480, 180], [299, 291]], ['down', [480, 180], [398, 333]], ['right', [480, 180], [330, 212]], ['up', [480, 180], [411, 74]], ['right', [480, 180], [464, 199]], ['down', [480, 180], [492, 413]], ['right', [480, 180], [515, 429]], ['down', [480, 180], [388, 385]], ['left', [480, 180], [245, 292]], ['up', [480, 180], [396, 140]], ['right', [480, 180], [462, 298]], ['down', [480, 180], [326, 411]], ['left', [480, 180], [179, 200]], ['up', [480, 180], [356, 132]], ['right', [480, 180], [567, 238]], ['down', [480, 180], [325, 301]], ['left', [480, 180], [440, 219]], ['up', [480, 180], [307, 196]], ['left', [480, 180], [246, 182]], ['down', [480, 180], [248, 182]], ['right', [480, 180], [334, 237]], ['down', [480, 180], [180, 275]], ['left', [480, 180], [148, 190]], ['up', [480, 180], [400, 170]], ['right', [480, 180], [372, 253]], ['down', [480, 180], [453, 334]], ['right', [480, 180], [432, 204]], ['up', [480, 180], [431, 215]], ['left', [480, 180], [429, 292]], ['down', [480, 180], [567, 349]], ['right', [480, 180], [524, 151]], ['up', [480, 180], [437, 179]], ['left', [480, 180], [403, 179]], ['down', [480, 180], [501, 156]], ['right', [480, 180], [475, 114]], ['up', [480, 180], [353, 160]], ['left', [480, 180], [310, 216]], ['down', [480, 180], [501, 335]], ['right', [480, 180], [504, 247]], ['up', [480, 180], [372, 238]], ['left', [480, 180], [358, 239]], ['down', [480, 180], [466, 371]], ['right', [480, 180], [495, 256]], ['up', [480, 180], [316, 234]], ['left', [480, 180], [287, 234]], ['down', [480, 180], [430, 334]], ['right', [480, 180], [342, 271]], ['up', [480, 180], [342, 275]], ['left', [480, 180], [343, 238]], ['up', [480, 180], [465, 258]], ['right', [480, 180], [500, 258]], ['down', [480, 180], [556, 264]], ['left', [480, 180], [542, 227]]]"
,,,,,
14:50:27,18.03,16,2,effective,"[['right', [660, 480], [297, 257]], ['down', [660, 480], [318, 259]], ['right', [660, 480], [277, 302]], ['down', [660, 480], [288, 294]], ['right', [660, 480], [344, 286]], ['down', [660, 480], [312, 309]], ['left', [660, 480], [286, 294]], ['up', [660, 480], [349, 296]], ['right', [660, 480], [362, 323]], ['down', [660, 480], [283, 340]], ['left', [660, 480], [246, 296]], ['up', [660, 480], [351, 297]], ['right', [660, 480], [322, 334]], ['down', [660, 480], [253, 328]], ['left', [660, 480], [239, 281]], ['up', [660, 480], [337, 311]], ['right', [660, 480], [311, 323]], ['down', [660, 480], [215, 342]], ['left', [660, 480], [354, 315]], ['up', [660, 480], [329, 399]], ['right', [660, 480], [312, 413]], ['down', [660, 480], [372, 411]], ['right', [660, 480], [417, 430]], ['down', [660, 480], [391, 426]], ['left', [660, 480], [377, 433]], ['up', [660, 480], [452, 443]], ['right', [660, 480], [398, 454]], ['down', [660, 480], [533, 462]]]"
14:50:44,12.24,8,1,effective,"[['right', [-20, 480], [314, 284]], ['down', [-20, 480], [317, 284]], ['right', [-20, 480], [335, 327]], ['down', [-20, 480], [245, 377]], ['left', [-20, 480], [263, 403]], ['up', [-20, 480], [281, 400]], ['right', [-20, 480], [282, 438]], ['down', [-20, 480], [280, 458]], ['left', [-20, 480], [539, 459]], ['up', [-20, 480], [548, 463]], ['right', [-20, 480], [483, 464]], ['down', [-20, 480], [482, 466]], ['right', [-20, 480], [401, 455]], ['down', [-20, 480], [390, 463]]]"
14:51:04,16.52,16,2,effective,"[['right', [-20, 480], [353, 269]], ['down', [-20, 480], [343, 292]], ['right', [-20, 480], [397, 217]], ['up', [-20, 480], [500, 209]], ['right', [-20, 480], [499, 209]], ['down', [-20, 480], [275, 421]], ['left', [-20, 480], [286, 355]], ['up', [-20, 480], [447, 313]], ['right', [-20, 480], [471, 386]], ['down', [-20, 480], [622, 383]], ['right', [-20, 480], [587, 445]], ['down', [-20, 480], [359, 413]]]"
,,,,,
14:56:56,35,76,9,effective,"[['right', [660, 360], [357, 281]], ['down', [660, 360], [187, 227]], ['left', [660, 360], [378, 393]], ['down', [660, 360], [511, 384]], ['right', [660, 360], [431, 347]], ['up', [660, 360], [367, 421]], ['left', [660, 360], [494, 420]], ['down', [660, 360], [455, 353]], ['right', [660, 360], [425, 347]], ['up', [660, 360], [388, 409]], ['left', [660, 360], [437, 419]], ['down', [660, 360], [454, 419]], ['right', [660, 360], [455, 414]], ['up', [660, 360], [455, 414]], ['right', [660, 360], [382, 348]], ['up', [660, 360], [387, 327]], ['left', [660, 360], [424, 345]], ['down', [660, 360], [236, 269]], ['left', [660, 360], [237, 248]], ['up', [660, 360], [183, 247]], ['left', [660, 360], [295, 339]], ['down', [660, 360], [391, 315]], ['right', [660, 360], [369, 209]], ['up', [660, 360], [489, 217]], ['right', [660, 360], [482, 100]], ['up', [660, 360], [439, 109]], ['left', [660, 360], [359, 87]], ['up', [660, 360], [303, 96]], ['left', [660, 360], [309, 111]], ['down', [660, 360], [502, 231]], ['right', [660, 360], [547, 396]], ['down', [660, 360], [508, 380]], ['left', [660, 360], [337, 323]], ['up', [660, 360], [252, 318]], ['left', [660, 360], [64, 244]], ['up', [660, 360], [201, 250]], ['right', [660, 360], [96, 236]], ['down', [660, 360], [444, 355]], ['right', [660, 360], [518, 398]], ['down', [660, 360], [622, 441]]]"
14:58:04,64.09,179,19,effective,"[['right', [20, 180], [311, 289]], ['down', [20, 180], [361, 319]], ['right', [20, 180], [327, 319]], ['down', [20, 180], [293, 305]], ['left', [20, 180], [281, 211]], ['up', [20, 180], [119, 116]], ['left', [20, 180], [99, 97]], ['up', [20, 180], [176, 147]], ['right', [20, 180], [127, 213]], ['down', [20, 180], [29, 237]], ['left', [20, 180], [59, 253]], ['down', [20, 180], [152, 363]], ['right', [20, 180], [552, 288]], ['up', [20, 180], [487, 320]], ['left', [20, 180], [467, 375]], ['down', [20, 180], [330, 396]], ['left', [20, 180], [117, 272]], ['up', [20, 180], [166, 323]], ['right', [20, 180], [142, 288]], ['up', [20, 180], [89, 288]], ['left', [20, 180], [91, 294]], ['down', [20, 180], [130, 280]], ['right', [20, 180], [102, 233]], ['up', [20, 180], [211, 245]], ['right', [20, 180], [360, 265]], ['down', [20, 180], [486, 341]], ['right', [20, 180], [477, 336]], ['up', [20, 180], [461, 342]], ['left', [20, 180], [433, 22]], ['up', [20, 180], [428, 77]], ['right', [20, 180], [372, 83]], ['down', [20, 180], [505, 101]], ['right', [20, 180], [550, 71]], ['up', [20, 180], [578, 74]], ['right', [20, 180], [541, 98]], ['down', [20, 180], [503, 180]], ['left', [20, 180], [524, 86]], ['up', [20, 180], [574, 80]], ['right', [20, 180], [560, 81]], ['down', [20, 180], [405, 141]], ['left', [20, 180], [389, 68]], ['up', [20, 180], [381, 83]], ['left', [20, 180], [380, 111]], ['down', [20, 180], [225, 57]], ['left', [20, 180], [225, 57]], ['up', [20, 180], [106, 55]], ['left', [20, 180], [106, 55]], ['down', [20, 180], [191, 112]], ['right', [20, 180], [312, 151]], ['down', [20, 180], [163, 221]], ['left', [20, 180], [199, 225]], ['up', [20, 180], [324, 221]], ['right', [20, 180], [466, 357]], ['down', [20, 180], [387, 348]], ['left', [20, 180], [443, 133]], ['up', [20, 180], [569, 138]], ['right', [20, 180], [576, 139]], ['down', [20, 180], [434, 158]], ['left', [20, 180], [359, 174]], ['up', [20, 180], [306, 187]], ['left', [20, 180], [308, 196]], ['down', [20, 180], [227, 176]], ['left', [20, 180], [215, 172]], ['up', [20, 180], [110, 161]], ['right', [20, 180], [171, 215]], ['down', [20, 180], [84, 187]], ['left', [20, 180], [94, 169]], ['up', [20, 180], [114, 166]], ['right', [20, 180], [135, 186]], ['down', [20, 180], [113, 186]], ['left', [20, 180], [83, 162]], ['up', [20, 180], [96, 161]], ['right', [20, 180], [96, 161]], ['down', [20, 180], [96, 161]]]"
14:58:21,13,24,3,effective,"[['right', [440, 500], [352, 235]], ['down', [440, 500], [305, 283]], ['right', [440, 500], [304, 292]], ['down', [440, 500], [316, 306]], ['right', [440, 500], [319, 305]], ['up', [440, 500], [306, 297]], ['right', [440, 500], [332, 303]], ['down', [440, 500], [304, 300]], ['left', [440, 500], [322, 295]], ['up', [440, 500], [324, 306]], ['right', [440, 500], [315, 307]], ['down', [440, 500], [315, 307]], ['left', [440, 500], [195, 82]], ['up', [440, 500], [215, 72]], ['right', [440, 500], [438, 261]]]"
,,,,,
17:41:55,173.21,460,40,effective,"[['right', [660, 480], [308, 249]], ['down', [660, 480], [279, 278]], ['left', [660, 480], [289, 249]], ['up', [660, 480], [80, 115]], ['left', [660, 480], [148, 275]], ['down', [660, 480], [271, 314]], ['right', [660, 480], [531, 438]], ['down', [660, 480], [162, 392]], ['left', [660, 480], [418, 218]], ['up', [660, 480], [448, 211]], ['right', [660, 480], [412, 265]], ['down', [660, 480], [313, 215]], ['left', [660, 480], [418, 195]], ['up', [660, 480], [516, 248]], ['right', [660, 480], [617, 182]], ['up', [660, 480], [454, 188]], ['left', [660, 480], [170, 406]], ['down', [660, 480], [322, 409]], ['right', [660, 480], [330, 303]], ['up', [660, 480], [131, 165]], ['left', [660, 480], [198, 294]], ['down', [660, 480], [411, 310]], ['right', [660, 480], [281, 167]], ['up', [660, 480], [113, 250]], ['left', [660, 480], [115, 351]], ['down', [660, 480], [298, 340]], ['right', [660, 480], [592, 331]], ['up', [660, 480], [404, 317]], ['left', [660, 480], [496, 370]], ['down', [660, 480], [600, 363]], ['right', [660, 480], [570, 318]], ['up', [660, 480], [136, 133]], ['left', [660, 480], [139, 345]], ['down', [660, 480], [561, 404]], ['right', [660, 480], [565, 335]], ['up', [660, 480], [419, 96]], ['left', [660, 480], [421, 79]], ['up', [660, 480], [509, 107]], ['right', [660, 480], [439, 166]], ['down', [660, 480], [339, 154]], ['left', [660, 480], [371, 106]], ['up', [660, 480], [504, 123]], ['right', [660, 480], [503, 234]], ['down', [660, 480], [59, 157]], ['left', [660, 480], [29, 134]], ['up', [660, 480], [273, 244]], ['right', [660, 480], [265, 211]], ['down', [660, 480], [104, 176]], ['left', [660, 480], [166, 145]], ['up', [660, 480], [359, 227]], ['right', [660, 480], [273, 252]], ['down', [660, 480], [551, 304]], ['right', [660, 480], [574, 205]], ['up', [660, 480], [428, 220]], ['left', [660, 480], [315, 101]], ['up', [660, 480], [414, 116]], ['right', [660, 480], [401, 259]], ['down', [660, 480], [127, 345]], ['left', [660, 480], [288, 220]], ['up', [660, 480], [522, 48]], ['right', [660, 480], [353, 333]], ['down', [660, 480], [578, 346]], ['right', [660, 480], [549, 124]], ['up', [660, 480], [364, 251]], ['left', [660, 480], [397, 370]], ['down', [660, 480], [505, 372]], ['right', [660, 480], [521, 247]], ['up', [660, 480], [247, 231]], ['left', [660, 480], [120, 347]], ['down', [660, 480], [379, 334]], ['right', [660, 480], [340, 423]], ['down', [660, 480], [185, 414]], ['left', [660, 480], [166, 187]], ['up', [660, 480], [332, 211]], ['right', [660, 480], [375, 381]], ['down', [660, 480], [215, 338]], ['left', [660, 480], [217, 195]], ['up', [660, 480], [463, 241]], ['right', [660, 480], [627, 353]], ['down', [660, 480], [325, 312]], ['left', [660, 480], [290, 175]], ['up', [660, 480], [554, 169]], ['right', [660, 480], [575, 334]], ['down', [660, 480], [357, 284]], ['left', [660, 480], [422, 228]], ['up', [660, 480], [264, 180]], ['left', [660, 480], [254, 319]], ['down', [660, 480], [504, 346]], ['right', [660, 480], [590, 77]], ['up', [660, 480], [375, 149]], ['left', [660, 480], [109, 289]], ['down', [660, 480], [368, 293]], ['right', [660, 480], [418, 225]], ['up', [660, 480], [146, 198]], ['left', [660, 480], [129, 368]], ['down', [660, 480], [349, 359]], ['right', [660, 480], [267, 304]], ['up', [660, 480], [393, 278]], ['right', [660, 480], [341, 152]], ['up', [660, 480], [155, 202]], ['left', [660, 480], [178, 314]], ['down', [660, 480], [331, 282]], ['right', [660, 480], [282, 344]], ['down', [660, 480], [89, 297]], ['left', [660, 480], [70, 175]], ['up', [660, 480], [221, 194]], ['right', [660, 480], [183, 262]], ['down', [660, 480], [111, 389]], ['left', [660, 480], [78, 195]], ['up', [660, 480], [184, 185]], ['right', [660, 480], [176, 270]], ['down', [660, 480], [122, 360]], ['left', [660, 480], [97, 216]], ['up', [660, 480], [161, 157]], ['right', [660, 480], [155, 246]], ['down', [660, 480], [131, 361]], ['left', [660, 480], [82, 220]], ['up', [660, 480], [193, 200]], ['right', [660, 480], [170, 269]], ['down', [660, 480], [324, 292]], ['right', [660, 480], [382, 105]], ['up', [660, 480], [195, 113]], ['left', [660, 480], [202, 278]], ['down', [660, 480], [456, 389]], ['right', [660, 480], [421, 203]], ['up', [660, 480], [189, 197]], ['left', [660, 480], [162, 375]], ['down', [660, 480], [441, 398]], ['right', [660, 480], [499, 225]], ['up', [660, 480], [236, 167]], ['left', [660, 480], [301, 399]], ['down', [660, 480], [159, 337]], ['left', [660, 480], [143, 155]], ['up', [660, 480], [376, 170]], ['right', [660, 480], [399, 292]], ['down', [660, 480], [202, 320]], ['left', [660, 480], [235, 168]], ['up', [660, 480], [467, 264]], ['right', [660, 480], [434, 345]], ['down', [660, 480], [198, 279]], ['left', [660, 480], [311, 167]], ['up', [660, 480], [413, 322]], ['right', [660, 480], [416, 369]], ['down', [660, 480], [260, 374]], ['left', [660, 480], [253, 211]], ['up', [660, 480], [363, 324]], ['right', [660, 480], [415, 360]], ['down', [660, 480], [263, 350]], ['left', [660, 480], [202, 217]], ['up', [660, 480], [381, 234]], ['right', [660, 480], [398, 364]], ['down', [660, 480], [277, 405]], ['left', [660, 480], [220, 264]], ['up', [660, 480], [171, 261]], ['left', [660, 480], [153, 400]], ['down', [660, 480], [275, 424]], ['right', [660, 480], [443, 256]], ['up', [660, 480], [222, 262]], ['left', [660, 480], [192, 409]], ['down', [660, 480], [352, 398]], ['right', [660, 480], [523, 259]], ['up', [660, 480], [373, 317]], ['left', [660, 480], [363, 218]], ['up', [660, 480], [330, 122]], ['left', [660, 480], [225, 278]], ['down', [660, 480], [481, 411]], ['right', [660, 480], [565, 270]], ['up', [660, 480], [441, 279]], ['left', [660, 480], [196, 331]], ['down', [660, 480], [490, 379]]]"
17:42:29,30.72,58,7,effective,"[['right', [300, 500], [286, 313]], ['down', [300, 500], [149, 294]], ['left', [300, 500], [245, 168]], ['up', [300, 500], [507, 64]], ['right', [300, 500], [280, 57]], ['up', [300, 500], [218, 66]], ['left', [300, 500], [254, 235]], ['down', [300, 500], [588, 295]], ['right', [300, 500], [543, 204]], ['up', [300, 500], [337, 232]], ['left', [300, 500], [403, 336]], ['down', [300, 500], [591, 304]], ['right', [300, 500], [504, 220]], ['up', [300, 500], [85, 109]], ['left', [300, 500], [204, 99]], ['up', [300, 500], [86, 114]], ['left', [300, 500], [211, 388]], ['down', [300, 500], [498, 344]], ['right', [300, 500], [423, 437]], ['down', [300, 500], [317, 395]], ['left', [300, 500], [191, 213]], ['up', [300, 500], [316, 290]], ['right', [300, 500], [393, 420]], ['down', [300, 500], [282, 399]], ['left', [300, 500], [341, 312]], ['up', [300, 500], [485, 348]], ['right', [300, 500], [430, 421]], ['down', [300, 500], [312, 398]], ['left', [300, 500], [325, 465]]]"
